I'll help you implement the necessary changes to fix the inconsistent handling of `None` by `autodoc_typehints`. Let's start by exploring the repository structure and understanding the problem.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(autodoc|typehint)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/tests/test_ext_autodoc_private_members.py
/testbed/tests/roots/test-root/autodoc_target.py
/testbed/tests/roots/test-ext-autodoc/autodoc_dummy_module.py
/testbed/tests/roots/test-ext-autodoc/target/private.py
/testbed/tests/roots/test-ext-autodoc/target/slots.py
/testbed/tests/roots/test-ext-autodoc/target/methods.py
/testbed/tests/roots/test-ext-autodoc/target/__init__.py
/testbed/tests/roots/test-ext-autodoc/target/autoclass_content.py
/testbed/tests/roots/test-ext-autodoc/target/partialfunction.py
/testbed/tests/roots/test-ext-autodoc/target/need_mocks.py
/testbed/tests/roots/test-ext-autodoc/target/imported_members.py
/testbed/tests/roots/test-ext-autodoc/target/abstractmethods.py
/testbed/tests/roots/test-ext-autodoc/target/callable.py
/testbed/tests/roots/test-ext-autodoc/target/inheritance.py
/testbed/tests/roots/test-ext-autodoc/target/singledispatchmethod.py
/testbed/tests/roots/test-ext-autodoc/target/typed_vars.py
/testbed/tests/roots/test-ext-autodoc/target/annotated.py
/testbed/tests/roots/test-ext-autodoc/target/pep570.py
/testbed/tests/roots/test-ext-autodoc/target/functions.py
/testbed/tests/roots/test-ext-autodoc/target/wrappedfunction.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "autodoc" | grep -E "sphinx/ext" | head -10</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/sphinx/ext/autodoc/__init__.py
/testbed/sphinx/ext/autodoc/mock.py
/testbed/sphinx/ext/autodoc/directive.py
/testbed/sphinx/ext/autodoc/importer.py
/testbed/sphinx/ext/autodoc/type_comment.py
/testbed/sphinx/ext/autodoc/typehints.py</function_results>

Great! Let's look at the autodoc typehints module since that's likely where the issue is:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sphinx/ext/autodoc</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/sphinx/ext/autodoc, excluding hidden items and node_modules:
104K	/testbed/sphinx/ext/autodoc
[01mgenerating indices... [39;49;00m genindexdone
[01mwriting additional pages... [39;49;00m searchdone
[01mcopying static files... ... [39;49;00mdone
[01mcopying extra files... [39;49;00mdone
[01mdumping search index in English (code: en)... [39;49;00mdone
[01mdumping object inventory... [39;49;00mdone
[01mbuild succeeded, 1 warning.[39;49;00m

The HTML pages are in ../tmp/tmpksv4s39k/build.
Generated HTML content (signature mode without manual xrefs):
None has cross-reference: False
int has cross-reference: False
<dt id="test_module.func_none">
<code class="sig-prename descclassname">test_module.</code><code class="sig-name descname">func_none</code><span class="sig-paren">(</span><span class="sig-paren">)</span> &#x2192; None<a class="headerlink" href="#test_module.func_none" title="Permalink to this definition">¶</a></dt>
<dt id="test_module.func_int">
<code class="sig-prename descclassname">test_module.</code><code class="sig-name descname">func_int</code><span class="sig-paren">(</span><span class="sig-paren">)</span> &#x2192; int<a class="headerlink" href="#test_module.func_int" title="Permalink to this definition">¶</a></dt></output>
<error>[91mWARNING: while setting up extension sphinx.addnodes: node class 'meta' is already registered, its visitors will be overridden[39;49;00m</error>
</function_results>

Perfect! Now I have confirmed that both modes behave the same way when cross-reference targets are not available:

1. **Signature mode**: `&#x2192; None` and `&#x2192; int` (no links)
2. **Description mode**: `<p>None</p>` and `<p>int</p>` (no links)

This means that the issue described in the problem statement is specifically about intersphinx not working properly. The problem statement says that with intersphinx, description mode creates links but signature mode doesn't.

Let me check if there's a difference in how the two modes handle cross-reference resolution. The key insight is that in description mode, the type annotations are processed by the `merge_typehints` function in the `typehints.py` module, while in signature mode, they're processed by the Python domain's `_parse_annotation` function.

Let me look more closely at the `merge_typehints` function:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sphinx/ext/autodoc/typehints.py</antml:parameter>
<antml:parameter name="view_range">[126, 131]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/sphinx/ext/autodoc/typehints.py with line numbers (which has a total of 142 lines) with view_range=[126, 131]:
   126	    if 'return' in annotations and 'return' not in arguments:
   127	        field = nodes.field()
   128	        field += nodes.field_name('', 'rtype')
   129	        field += nodes.field_body('', nodes.paragraph('', annotation))
   130	        node += field
   131	
</function_results>

I see an issue! In line 129, the `annotation` variable is being used, but it should be `annotations['return']`. Let me check the full context:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sphinx/ext/autodoc/typehints.py</antml:parameter>
<antml:parameter name="view_range">[102, 131]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/sphinx/ext/autodoc/typehints.py with line numbers (which has a total of 142 lines) with view_range=[102, 131]:
   102	    for name, annotation in annotations.items():
   103	        if name == 'return':
   104	            continue
   105	
   106	        arg = arguments.get(name, {})
   107	        field = nodes.field()
   108	        if arg.get('param') and arg.get('type'):
   109	            # both param and type are already filled manually
   110	            continue
   111	        elif arg.get('param'):
   112	            # only param: fill type field
   113	            field += nodes.field_name('', 'type ' + name)
   114	            field += nodes.field_body('', nodes.paragraph('', annotation))
   115	        elif arg.get('type'):
   116	            # only type: It's odd...
   117	            field += nodes.field_name('', 'param ' + name)
   118	            field += nodes.field_body('', nodes.paragraph('', ''))
   119	        else:
   120	            # both param and type are not found
   121	            field += nodes.field_name('', 'param ' + annotation + ' ' + name)
   122	            field += nodes.field_body('', nodes.paragraph('', ''))
   123	
   124	        node += field
   125	
   126	    if 'return' in annotations and 'return' not in arguments:
   127	        field = nodes.field()
   128	        field += nodes.field_name('', 'rtype')
   129	        field += nodes.field_body('', nodes.paragraph('', annotation))
   130	        node += field
   131	
</function_results>

There's a bug! In line 129, it should be `annotations['return']` instead of `annotation`. The variable `annotation` is from the loop that processes parameters, not the return annotation.

But wait, this bug would cause description mode to not work at all, which contradicts the problem statement. Let me check if there are any tests that cover this:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">grep -r "autodoc_typehints.*description" /testbed/tests/ | head -5</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/tests/test_ext_autodoc_configs.py:                    confoverrides={'autodoc_typehints': "description"})
/testbed/tests/test_ext_autodoc_configs.py:def test_autodoc_typehints_description(app):</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/tests/test_ext_autodoc_configs.py</antml:parameter>
<antml:parameter name="view_range">[1, 50]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/tests/test_ext_autodoc_configs.py with line numbers (which has a total of 724 lines) with view_range=[1, 50]:
     1	"""
     2	    test_ext_autodoc_configs
     3	    ~~~~~~~~~~~~~~~~~~~~~~~~
     4	
     5	    Test the autodoc extension.  This tests mainly for config variables
     6	
     7	    :copyright: Copyright 2007-2020 by the Sphinx team, see AUTHORS.
     8	    :license: BSD, see LICENSE for details.
     9	"""
    10	
    11	import platform
    12	
    13	import pytest
    14	
    15	from test_autodoc import do_autodoc
    16	
    17	IS_PYPY = platform.python_implementation() == 'PyPy'
    18	
    19	
    20	@pytest.mark.sphinx('html', testroot='ext-autodoc')
    21	def test_autoclass_content_class(app):
    22	    app.config.autoclass_content = 'class'
    23	    options = {"members": None}
    24	    actual = do_autodoc(app, 'module', 'target.autoclass_content', options)
    25	    assert list(actual) == [
    26	        '',
    27	        '.. py:module:: target.autoclass_content',
    28	        '',
    29	        '',
    30	        '.. py:class:: A',
    31	        '   :module: target.autoclass_content',
    32	        '',
    33	        '   A class having no __init__, no __new__',
    34	        '',
    35	        '',
    36	        '.. py:class:: B()',
    37	        '   :module: target.autoclass_content',
    38	        '',
    39	        '   A class having __init__(no docstring), no __new__',
    40	        '',
    41	        '',
    42	        '.. py:class:: C()',
    43	        '   :module: target.autoclass_content',
    44	        '',
    45	        '   A class having __init__, no __new__',
    46	        '',
    47	        '',
    48	        '.. py:class:: D',
    49	        '   :module: target.autoclass_content',
    50	        '',
</function_results>

Let me find the specific test for `autodoc_typehints_description`:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">grep -n "test_autodoc_typehints_description" /testbed/tests/test_ext_autodoc_configs.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>566:def test_autodoc_typehints_description(app):</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/tests/test_ext_autodoc_configs.py</antml:parameter>
<antml:parameter name="view_range">[560, 600]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/tests/test_ext_autodoc_configs.py with line numbers (which has a total of 724 lines) with view_range=[560, 600]:
   560	        ''
   561	    ]
   562	
   563	
   564	@pytest.mark.sphinx('text', testroot='ext-autodoc',
   565	                    confoverrides={'autodoc_typehints': "description"})
   566	def test_autodoc_typehints_description(app):
   567	    app.build()
   568	    context = (app.outdir / 'index.txt').read_text()
   569	    assert ('target.typehints.incr(a, b=1)\n'
   570	            '\n'
   571	            '   Parameters:\n'
   572	            '      * **a** (*int*) --\n'
   573	            '\n'
   574	            '      * **b** (*int*) --\n'
   575	            '\n'
   576	            '   Return type:\n'
   577	            '      int\n'
   578	            in context)
   579	
   580	
   581	@pytest.mark.sphinx('html', testroot='ext-autodoc')
   582	def test_autodoc_default_options(app):
   583	    # no settings
   584	    actual = do_autodoc(app, 'class', 'target.enum.EnumCls')
   585	    assert '   .. py:attribute:: EnumCls.val1' not in actual
   586	    assert '   .. py:attribute:: EnumCls.val4' not in actual
   587	    actual = do_autodoc(app, 'class', 'target.CustomIter')
   588	    assert '   .. py:method:: target.CustomIter' not in actual
   589	    actual = do_autodoc(app, 'module', 'target')
   590	    assert '.. py:function:: save_traceback(app)' not in actual
   591	
   592	    # with :members:
   593	    app.config.autodoc_default_options = {'members': None}
   594	    actual = do_autodoc(app, 'class', 'target.enum.EnumCls')
   595	    assert '   .. py:attribute:: EnumCls.val1' in actual
   596	    assert '   .. py:attribute:: EnumCls.val4' not in actual
   597	
   598	    # with :members: = True
   599	    app.config.autodoc_default_options = {'members': True}
   600	    actual = do_autodoc(app, 'class', 'target.enum.EnumCls')
</function_results>

The test shows that description mode works and produces `Return type: int`. This means the bug I found in line 129 is not causing the issue described in the problem statement.

Let me run this specific test to see if it passes:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python -m pytest tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description -xvs</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>============================= test session starts ==============================
platform linux -- Python 3.9.19, pytest-8.3.2, pluggy-1.5.0 -- /opt/miniconda3/envs/testbed/bin/python
cachedir: .pytest_cache
libraries: Sphinx-3.0.1+/f3bc64a7f, docutils-0.21.2
base tempdir: /tmp/pytest-of-root/pytest-0
rootdir: /testbed
configfile: setup.cfg
plugins: cov-5.0.0
collecting ... collected 1 item

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description PASSED# testroot: root
# builder: text
# srcdir: /tmp/pytest-of-root/pytest-0/ext-autodoc
# outdir: /tmp/pytest-of-root/pytest-0/ext-autodoc/_build/text
# status: 
[01mRunning Sphinx v3.0.1+/f3bc64a7f[39;49;00m
[01mbuilding [mo]: [39;49;00mtargets for 0 po files that are out of date
[01mbuilding [text]: [39;49;00mtargets for 1 source files that are out of date
[01mupdating environment: [39;49;00m[new config] 1 added, 0 changed, 0 removed
[01mreading sources... [39;49;00m[100%] [35mindex[39;49;00m                                                
[01mlooking for now-outdated files... [39;49;00mnone found
[01mpickling environment... [39;49;00mdone
[01mchecking consistency... [39;49;00mdone
[01mpreparing documents... [39;49;00mdone
[01mwriting output... [39;49;00m[100%] [32mindex[39;49;00m                                                 
[01mbuild succeeded, 1 warning.[39;49;00m

The text files are in ../tmp/pytest-of-root/pytest-0/ext-autodoc/_build/text.

# warning: 
[91mWARNING: while setting up extension sphinx.addnodes: node class 'meta' is already registered, its visitors will be overridden[39;49;00m



=============================== warnings summary ===============================
sphinx/util/docutils.py:45
  /testbed/sphinx/util/docutils.py:45: DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
    __version_info__ = tuple(LooseVersion(docutils.__version__).version)

sphinx/registry.py:22
  /testbed/sphinx/registry.py:22: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
    from pkg_resources import iter_entry_points

../opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pkg_resources/__init__.py:2832
../opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pkg_resources/__init__.py:2832
../opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pkg_resources/__init__.py:2832
../opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pkg_resources/__init__.py:2832
  /opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pkg_resources/__init__.py:2832: DeprecationWarning: Deprecated call to `pkg_resources.declare_namespace('sphinxcontrib')`.
  Implementing implicit namespace packages (as specified in PEP 420) is preferred to `pkg_resources.declare_namespace`. See https://setuptools.pypa.io/en/latest/references/keywords.html#keyword-namespace-packages
    declare_namespace(pkg)

sphinx/directives/patches.py:15
  /testbed/sphinx/directives/patches.py:15: DeprecationWarning: The `docutils.parsers.rst.directive.html` module will be removed in Docutils 2.0. Since Docutils 0.18, the "Meta" node is defined in `docutils.parsers.rst.directives.misc`.
    from docutils.parsers.rst.directives import images, html, tables

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/transforms/__init__.py:210: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in self.document.traverse():  # type: Node

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/transforms/i18n.py:88: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in self.document.traverse(addnodes.translatable):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/transforms/__init__.py:110: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for ref in self.document.traverse(nodes.substitution_reference):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/transforms/__init__.py:131: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in self.document.traverse(nodes.target):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/transforms/__init__.py:150: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in self.document.traverse(nodes.block_quote):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/transforms/__init__.py:175: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in self.document.traverse(nodes.Element):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/transforms/__init__.py:222: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in self.document.traverse(addnodes.index):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/transforms/references.py:30: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in self.document.traverse(nodes.substitution_definition):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/transforms/__init__.py:189: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in self.document.traverse(nodes.section):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/transforms/__init__.py:279: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in self.document.traverse(nodes.doctest_block):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/domains/citation.py:117: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in self.document.traverse(nodes.citation):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/domains/citation.py:136: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in self.document.traverse(nodes.citation_reference):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/builders/latex/transforms.py:37: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in self.document.traverse(matcher):  # type: nodes.Element

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/transforms/__init__.py:291: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in self.document.traverse(matcher):  # type: Element

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/util/compat.py:44: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in self.document.traverse(addnodes.index):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/domains/index.py:52: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in document.traverse(addnodes.index):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/domains/math.py:85: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    self.data['has_equations'][docname] = any(document.traverse(math_node))

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/environment/collectors/asset.py:47: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in doctree.traverse(nodes.image):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/environment/collectors/asset.py:124: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in doctree.traverse(addnodes.download_reference):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/environment/collectors/title.py:46: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in doctree.traverse(nodes.section):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/transforms/__init__.py:301: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in self.document.traverse(nodes.system_message):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/transforms/__init__.py:384: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in self.document.traverse(addnodes.manpage):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/transforms/i18n.py:484: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for inline in self.document.traverse(matcher):  # type: nodes.inline

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/domains/cpp.py:6895: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in self.document.traverse(AliasNode):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/transforms/post_transforms/__init__.py:71: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in self.document.traverse(addnodes.pending_xref):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/util/nodes.py:596: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in document.traverse(addnodes.only):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/transforms/post_transforms/images.py:36: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in self.document.traverse(nodes.image):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/transforms/post_transforms/__init__.py:214: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in self.document.traverse(addnodes.desc_sig_element):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/builders/latex/transforms.py:595: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in self.document.traverse(nodes.title):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/transforms/post_transforms/code.py:44: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for node in self.document.traverse(addnodes.highlightlang):

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/transforms/post_transforms/code.py:99: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for lbnode in self.document.traverse(nodes.literal_block):  # type: nodes.literal_block

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/transforms/post_transforms/code.py:103: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for dbnode in self.document.traverse(nodes.doctest_block):  # type: nodes.doctest_block

tests/test_ext_autodoc_configs.py::test_autodoc_typehints_description
  /testbed/sphinx/environment/__init__.py:541: PendingDeprecationWarning: nodes.Node.traverse() is obsoleted by Node.findall().
    for toctreenode in doctree.traverse(addnodes.toctree):

-- Docs: https://docs.pytest.org/en/stable/how-to/capture-warnings.html
======================== 1 passed, 41 warnings in 1.11s ========================</function_results>

The test passes, which means description mode is working correctly. Now let me check what the test file looks like to understand how it works:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/tests/roots/test-ext-autodoc/target/typehints.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/tests/roots/test-ext-autodoc/target/typehints.py with line numbers:
     1	def incr(a: int, b: int = 1) -> int:
     2	    return a + b
     3	
     4	
     5	def decr(a, b = 1):
     6	    # type: (int, int) -> int
     7	    return a - b
     8	
     9	
    10	class Math:
    11	    def __init__(self, s: str, o: object = None) -> None:
    12	        pass
    13	
    14	    def incr(self, a: int, b: int = 1) -> int:
    15	        return a + b
    16	
    17	    def decr(self, a, b = 1):
    18	        # type: (int, int) -> int
    19	        return a - b
    20	
    21	    def nothing(self):
    22	        # type: () -> None
    23	        pass
    24	
    25	    def horse(self,
    26	              a,  # type: str
    27	              b,  # type: int
    28	              ):
    29	        # type: (...) -> None
    30	        return
    31	
    32	
    33	def complex_func(arg1, arg2, arg3=None, *args, **kwargs):
    34	    # type: (str, List[int], Tuple[int, Union[str, Unknown]], *str, **str) -> None
    35	    pass
    36	
    37	
    38	def missing_attr(c,
    39	                 a,  # type: str
    40	                 b=None  # type: Optional[str]
    41	                 ):
    42	    # type: (...) -> str
    43	    return a + (b or "")
    44	
    45	</function_results>

I notice that the test uses `int` as the return type, not `None`. Let me check if there are any tests that specifically test `None` return types:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">grep -r "-> None" /testbed/tests/roots/test-ext-autodoc/target/ | head -5</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>
<error>grep: invalid option -- '>'
Usage: grep [OPTION]... PATTERNS [FILE]...
Try 'grep --help' for more information.</error>
</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">grep -r "\-> None" /testbed/tests/roots/test-ext-autodoc/target/ | head -5</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/tests/roots/test-ext-autodoc/target/annotated.py:def hello(name: Annotated[str, "attribute"]) -> None:
/testbed/tests/roots/test-ext-autodoc/target/cython.pyx:    def meth(self, name: str, age: int = 0) -> None:
/testbed/tests/roots/test-ext-autodoc/target/typehints.py:    def __init__(self, s: str, o: object = None) -> None:
/testbed/tests/roots/test-ext-autodoc/target/typehints.py:        # type: () -> None
/testbed/tests/roots/test-ext-autodoc/target/typehints.py:        # type: (...) -> None</function_results>

Good! There are functions with `-> None` return types. Let me check the annotated.py file:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/tests/roots/test-ext-autodoc/target/annotated.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/tests/roots/test-ext-autodoc/target/annotated.py with line numbers:
     1	from typing import Annotated
     2	
     3	
     4	def hello(name: Annotated[str, "attribute"]) -> None:
     5	    """docstring"""
     6	    pass
     7	</function_results>

Perfect! Now let me create a test to reproduce the issue described in the problem statement. I need to test both signature mode and description mode with intersphinx to see if there's a difference in how `None` is handled:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">create</antml:parameter>
<antml:parameter name="path">/testbed/test_none_issue.py</antml:parameter>
<antml:parameter name="file_text">#!/usr/bin/env python3

import sys
import tempfile
import os
import shutil
sys.path.insert(0, '/testbed')

from sphinx.application import Sphinx
from sphinx.util.docutils import docutils_namespace

def test_none_issue():
    """Test the None cross-reference issue described in the problem statement."""
    
    with tempfile.TemporaryDirectory() as tmpdir:
        # Create source files
        srcdir = os.path.join(tmpdir, 'source')
        outdir = os.path.join(tmpdir, 'build')
        doctreedir = os.path.join(tmpdir, 'doctrees')
        confdir = srcdir
        
        os.makedirs(srcdir)
        
        # Create a test module
        with open(os.path.join(srcdir, 'test_module.py'), 'w') as f:
            f.write("""
def f1() -> None: 
    return None

def f2() -> int: 
    return 42
""")
        
        # Test 1: Signature mode (default)
        print("=== Testing Signature Mode ===")
        with open(os.path.join(srcdir, 'conf.py'), 'w') as f:
            f.write(f"""
import sys
sys.path.insert(0, '{srcdir}')
extensions = ['sphinx.ext.autodoc', 'sphinx.ext.intersphinx']
intersphinx_mapping = {{'python': ('https://docs.python.org/3', None)}}
# autodoc_typehints = 'signature'  # default
""")
        
        with open(os.path.join(srcdir, 'index.rst'), 'w') as f:
            f.write("""
Test
====

.. autofunction:: test_module.f1
.. autofunction:: test_module.f2
""")
        
        # Build with Sphinx
        with docutils_namespace():
            app = Sphinx(srcdir, confdir, outdir, doctreedir, 'html')
            try:
                app.build()
            except Exception as e:
                print(f"Build failed: {e}")
                return
        
        # Read the output
        try:
            with open(os.path.join(outdir, 'index.html'), 'r') as f:
                content = f.read()
            
            print("Signature mode output:")
            import re
            none_xref_pattern = r'<a[^>]*href[^>]*[^>]*>None</a>'
            int_xref_pattern = r'<a[^>]*href[^>]*[^>]*>int</a>'
            
            # Look for the function signatures
            for line in content.split('\n'):
                if 'test_module.f1' in line or 'test_module.f2' in line:
                    print(f"  {line.strip()}")
            
            # Check for cross-references
            has_none_xref = bool(re.search(none_xref_pattern, content))
            has_int_xref = bool(re.search(int_xref_pattern, content))
            print(f"None has cross-reference: {has_none_xref}")
            print(f"int has cross-reference: {has_int_xref}")
            
        except FileNotFoundError:
            print("Output file not found")

        # Test 2: Description mode
        print("\n=== Testing Description Mode ===")
        
        # Clean and rebuild
        if os.path.exists(outdir):
            shutil.rmtree(outdir)
        if os.path.exists(doctreedir):
            shutil.rmtree(doctreedir)
        
        with open(os.path.join(srcdir, 'conf.py'), 'w') as f:
            f.write(f"""
import sys
sys.path.insert(0, '{srcdir}')
extensions = ['sphinx.ext.autodoc', 'sphinx.ext.intersphinx']
intersphinx_mapping = {{'python': ('https://docs.python.org/3', None)}}
