I'll help you implement the necessary changes to fix the issue where `Apps.clear_cache()` does not clear the `get_swappable_settings_name` cache. Let's start by exploring the repository structure to understand the codebase.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(app|registry)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app2/1_squashed_2.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app2/__init__.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app2/2_auto.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app2/1_auto.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app1/3_auto.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app1/__init__.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app1/4_auto.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app1/2_squashed_3.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app1/2_auto.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app1/1_auto.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app2/1_squashed_2.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app2/__init__.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app2/2_auto.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app2/1_auto.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/__init__.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app1/3_auto.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app1/__init__.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app1/4_auto.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app1/2_squashed_3.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app1/2_auto.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -path "*/django/apps*" -type f -name "*.py" | head -10</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/django/apps/__init__.py
/testbed/django/apps/config.py
/testbed/django/apps/registry.py</function_results>

Great! Let's examine the apps module structure:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/apps</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/django/apps, excluding hidden items and node_modules:
34K	/testbed/django/apps
   444	    def test_duplicate_dunder_path_no_dunder_file(self):
   445	        """
   446	        If the __path__ attr contains duplicate paths and there is no
   447	        __file__, they duplicates should be deduplicated (#25246).
   448	        """
   449	        ac = AppConfig("label", Stub(__path__=["a", "a"]))
   450	        self.assertEqual(ac.path, "a")
   451	
   452	    def test_repr(self):
   453	        ac = AppConfig("label", Stub(__path__=["a"]))
   454	        self.assertEqual(repr(ac), "<AppConfig: label>")
   455	
   456	    def test_invalid_label(self):
   457	        class MyAppConfig(AppConfig):
   458	            label = "invalid.label"
   459	
   460	        msg = "The app label 'invalid.label' is not a valid Python identifier."
   461	        with self.assertRaisesMessage(ImproperlyConfigured, msg):
   462	            MyAppConfig("test_app", Stub())
   463	
   464	    @override_settings(
   465	        INSTALLED_APPS=["apps.apps.ModelPKAppsConfig"],
   466	        DEFAULT_AUTO_FIELD="django.db.models.SmallAutoField",
   467	    )
   468	    def test_app_default_auto_field(self):
   469	        apps_config = apps.get_app_config("apps")
   470	        self.assertEqual(
   471	            apps_config.default_auto_field,
   472	            "django.db.models.BigAutoField",
   473	        )
   474	        self.assertIs(apps_config._is_default_auto_field_overridden, True)
   475	
   476	    @override_settings(
   477	        INSTALLED_APPS=["apps.apps.PlainAppsConfig"],
   478	        DEFAULT_AUTO_FIELD="django.db.models.SmallAutoField",
   479	    )
   480	    def test_default_auto_field_setting(self):
   481	        apps_config = apps.get_app_config("apps")
   482	        self.assertEqual(
   483	            apps_config.default_auto_field,
   484	            "django.db.models.SmallAutoField",
   485	        )
   486	        self.assertIs(apps_config._is_default_auto_field_overridden, False)
   487	
   488	
   489	class NamespacePackageAppTests(SimpleTestCase):
   490	    # We need nsapp to be top-level so our multiple-paths tests can add another
   491	    # location for it (if its inside a normal package with an __init__.py that
   492	    # isn't possible). In order to avoid cluttering the already-full tests/ dir
   493	    # (which is on sys.path), we add these new entries to sys.path temporarily.
   494	    base_location = os.path.join(HERE, "namespace_package_base")
   495	    other_location = os.path.join(HERE, "namespace_package_other_base")
   496	    app_path = os.path.join(base_location, "nsapp")
   497	
   498	    def test_single_path(self):
   499	        """
   500	        A Py3.3+ namespace package can be an app if it has only one path.
   501	        """
   502	        with extend_sys_path(self.base_location):
   503	            with self.settings(INSTALLED_APPS=["nsapp"]):
   504	                app_config = apps.get_app_config("nsapp")
   505	                self.assertEqual(app_config.path, self.app_path)
   506	
   507	    def test_multiple_paths(self):
   508	        """
   509	        A Py3.3+ namespace package with multiple locations cannot be an app.
   510	
   511	        (Because then we wouldn't know where to load its templates, static
   512	        assets, etc. from.)
   513	        """
   514	        # Temporarily add two directories to sys.path that both contain
   515	        # components of the "nsapp" package.
   516	        with extend_sys_path(self.base_location, self.other_location):
   517	            with self.assertRaises(ImproperlyConfigured):
   518	                with self.settings(INSTALLED_APPS=["nsapp"]):
   519	                    pass
   520	
   521	    def test_multiple_paths_explicit_path(self):
   522	        """
   523	        Multiple locations are ok only if app-config has explicit path.
   524	        """
   525	        # Temporarily add two directories to sys.path that both contain
   526	        # components of the "nsapp" package.
   527	        with extend_sys_path(self.base_location, self.other_location):
   528	            with self.settings(INSTALLED_APPS=["nsapp.apps.NSAppConfig"]):
   529	                app_config = apps.get_app_config("nsapp")
   530	                self.assertEqual(app_config.path, self.app_path)
   531	</function_results>

Now let's add a test case for our fix. I'll add it to the existing test file:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">str_replace</antml:parameter>
<antml:parameter name="path">/testbed/tests/apps/tests.py</antml:parameter>
<antml:parameter name="old_str">        # Everything should be loaded - make sure the callback was executed properly.
        self.assertEqual(model_classes, [LazyA, LazyB, LazyB, LazyC, LazyA])</antml:parameter>
<antml:parameter name="new_str">        # Everything should be loaded - make sure the callback was executed properly.
        self.assertEqual(model_classes, [LazyA, LazyB, LazyB, LazyC, LazyA])

    def test_clear_cache_clears_get_swappable_settings_name_cache(self):
        """
        Test that clear_cache() clears the get_swappable_settings_name cache.
        """
        # First, call get_swappable_settings_name to populate the cache
        result1 = apps.get_swappable_settings_name('auth.User')
        
        # Check if the method has cache_info (it should if it's cached)
        if hasattr(apps.get_swappable_settings_name, 'cache_info'):
            cache_info_before = apps.get_swappable_settings_name.cache_info()
            
            # Call the method again to increase cache hits
            result2 = apps.get_swappable_settings_name('auth.User')
            cache_info_after_second_call = apps.get_swappable_settings_name.cache_info()
            
            # Verify that we got a cache hit
            self.assertGreater(cache_info_after_second_call.hits, cache_info_before.hits)
            
            # Now clear the cache
            apps.clear_cache()
            
            # Check cache info after clear_cache
            cache_info_after_clear = apps.get_swappable_settings_name.cache_info()
            
            # The cache should be cleared, so hits and misses should be 0
            self.assertEqual(cache_info_after_clear.hits, 0)
            self.assertEqual(cache_info_after_clear.misses, 0)
            self.assertEqual(cache_info_after_clear.currsize, 0)
        else:
            self.fail("get_swappable_settings_name method doesn't have cache_info")</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>The file /testbed/tests/apps/tests.py has been edited successfully.</function_results>

Now let's run the specific test to make sure it passes:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python -m pytest tests/apps/tests.py::AppsTests::test_clear_cache_clears_get_swappable_settings_name_cache -xvs</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>
<error>/opt/miniconda3/envs/testbed/bin/python: No module named pytest</error>
</function_results>

Let's use Django's test runner instead:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python -m django test tests.apps.tests.AppsTests.test_clear_cache_clears_get_swappable_settings_name_cache --settings=test_sqlite</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>
<error>Traceback (most recent call last):
  File "<frozen runpy>", line 198, in _run_module_as_main
  File "<frozen runpy>", line 88, in _run_code
  File "/testbed/django/__main__.py", line 9, in <module>
    management.execute_from_command_line()
  File "/testbed/django/core/management/__init__.py", line 442, in execute_from_command_line
    utility.execute()
  File "/testbed/django/core/management/__init__.py", line 436, in execute
    self.fetch_command(subcommand).run_from_argv(self.argv)
  File "/testbed/django/core/management/commands/test.py", line 24, in run_from_argv
    super().run_from_argv(argv)
  File "/testbed/django/core/management/base.py", line 404, in run_from_argv
    parser = self.create_parser(argv[0], argv[1])
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/testbed/django/core/management/base.py", line 367, in create_parser
    self.add_arguments(parser)
  File "/testbed/django/core/management/commands/test.py", line 54, in add_arguments
    test_runner_class = get_runner(settings, self.test_runner)
                        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/testbed/django/test/utils.py", line 370, in get_runner
    test_runner_class = test_runner_class or settings.TEST_RUNNER
                                             ^^^^^^^^^^^^^^^^^^^^
  File "/testbed/django/conf/__init__.py", line 84, in __getattr__
    self._setup(name)
  File "/testbed/django/conf/__init__.py", line 71, in _setup
    self._wrapped = Settings(settings_module)
                    ^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/testbed/django/conf/__init__.py", line 185, in __init__
    mod = importlib.import_module(self.SETTINGS_MODULE)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/opt/miniconda3/envs/testbed/lib/python3.11/importlib/__init__.py", line 126, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "<frozen importlib._bootstrap>", line 1204, in _gcd_import
  File "<frozen importlib._bootstrap>", line 1176, in _find_and_load
  File "<frozen importlib._bootstrap>", line 1140, in _find_and_load_unlocked
ModuleNotFoundError: No module named 'test_sqlite'</error>
</function_results>

Let's use the Django test runner directly:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && ./tests/runtests.py apps.tests.AppsTests.test_clear_cache_clears_get_swappable_settings_name_cache --verbosity 2</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>
<output>Testing against Django installed in '/testbed/django' with up to 128 processes
Importing application apps
Found 1 test(s).
Skipping setup of unused database(s): default, other.
System check identified no issues (0 silenced).</output>
<error>test_clear_cache_clears_get_swappable_settings_name_cache (apps.tests.AppsTests.test_clear_cache_clears_get_swappable_settings_name_cache)
Test that clear_cache() clears the get_swappable_settings_name cache. ... ok

----------------------------------------------------------------------
Ran 1 test in 0.001s

OK</error>
</function_results>

Great! Our test passes. Now let's run all the apps tests to make sure we didn't break anything:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && ./tests/runtests.py apps --verbosity 2</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>
<output>Testing against Django installed in '/testbed/django' with up to 128 processes
Importing application apps
Found 44 test(s).
Skipping setup of unused database(s): default, other.
System check identified no issues (0 silenced).</output>
<error>test_app_default_auto_field (apps.tests.AppConfigTests.test_app_default_auto_field) ... ok
test_default_auto_field_setting (apps.tests.AppConfigTests.test_default_auto_field_setting) ... ok
test_dunder_path (apps.tests.AppConfigTests.test_dunder_path)
If single element in __path__, use it (in preference to __file__). ... ok
test_duplicate_dunder_path_no_dunder_file (apps.tests.AppConfigTests.test_duplicate_dunder_path_no_dunder_file)
If the __path__ attr contains duplicate paths and there is no ... ok
test_empty_dunder_path_fallback_to_dunder_file (apps.tests.AppConfigTests.test_empty_dunder_path_fallback_to_dunder_file)
If the __path__ attr is empty, use __file__ if set. ... ok
test_empty_dunder_path_no_dunder_file (apps.tests.AppConfigTests.test_empty_dunder_path_no_dunder_file)
If the __path__ attr is empty and there is no __file__, raise. ... ok
test_explicit_path_overrides (apps.tests.AppConfigTests.test_explicit_path_overrides)
If path set as class attr, overrides __path__ and __file__. ... ok
test_invalid_label (apps.tests.AppConfigTests.test_invalid_label) ... ok
test_multiple_dunder_path_fallback_to_dunder_file (apps.tests.AppConfigTests.test_multiple_dunder_path_fallback_to_dunder_file)
If the __path__ attr is length>1, use __file__ if set. ... ok
test_multiple_dunder_path_no_dunder_file (apps.tests.AppConfigTests.test_multiple_dunder_path_no_dunder_file)
If the __path__ attr is length>1 and there is no __file__, raise. ... ok
test_no_dunder_path_fallback_to_dunder_file (apps.tests.AppConfigTests.test_no_dunder_path_fallback_to_dunder_file)
If there is no __path__ attr, use __file__. ... ok
test_no_dunder_path_or_dunder_file (apps.tests.AppConfigTests.test_no_dunder_path_or_dunder_file)
If there is no __path__ or __file__, raise ImproperlyConfigured. ... ok
test_path_set_explicitly (apps.tests.AppConfigTests.test_path_set_explicitly)
If subclass sets path as class attr, no module attributes needed. ... ok
test_repr (apps.tests.AppConfigTests.test_repr) ... ok
test_multiple_paths (apps.tests.NamespacePackageAppTests.test_multiple_paths)
A Py3.3+ namespace package with multiple locations cannot be an app. ... ok
test_multiple_paths_explicit_path (apps.tests.NamespacePackageAppTests.test_multiple_paths_explicit_path)
Multiple locations are ok only if app-config has explicit path. ... ok
test_single_path (apps.tests.NamespacePackageAppTests.test_single_path)
A Py3.3+ namespace package can be an app if it has only one path. ... ok
test_bad_app_config (apps.tests.AppsTests.test_bad_app_config)
Tests when INSTALLED_APPS contains an incorrect app config. ... ok
test_clear_cache_clears_get_swappable_settings_name_cache (apps.tests.AppsTests.test_clear_cache_clears_get_swappable_settings_name_cache)
Test that clear_cache() clears the get_swappable_settings_name cache. ... ok
test_duplicate_labels (apps.tests.AppsTests.test_duplicate_labels) ... ok
test_duplicate_names (apps.tests.AppsTests.test_duplicate_names) ... ok
test_dynamic_load (apps.tests.AppsTests.test_dynamic_load)
Makes a new model at runtime and ensures it goes into the right place. ... ok
test_get_app_config (apps.tests.AppsTests.test_get_app_config)
Tests apps.get_app_config(). ... ok
test_get_app_configs (apps.tests.AppsTests.test_get_app_configs)
Tests apps.get_app_configs(). ... ok
test_get_containing_app_config_apps_not_ready (apps.tests.AppsTests.test_get_containing_app_config_apps_not_ready)
apps.get_containing_app_config() should raise an exception if ... ok
test_get_model (apps.tests.AppsTests.test_get_model)
Tests apps.get_model(). ... ok
test_import_exception_is_not_masked (apps.tests.AppsTests.test_import_exception_is_not_masked)
App discovery should preserve stack traces. Regression test for #22920. ... ok
test_is_installed (apps.tests.AppsTests.test_is_installed)
Tests apps.is_installed(). ... ok
test_lazy_model_operation (apps.tests.AppsTests.test_lazy_model_operation)
Tests apps.lazy_model_operation(). ... ok
test_model_clash (apps.tests.AppsTests.test_model_clash)
Test for behavior when two models clash in the app registry. ... ok
test_models_not_loaded (apps.tests.AppsTests.test_models_not_loaded)
apps.get_models() raises an exception if apps.models_ready isn't True. ... ok
test_models_py (apps.tests.AppsTests.test_models_py)
The models in the models.py file were loaded correctly. ... ok
test_no_config_app (apps.tests.AppsTests.test_no_config_app)
Load an app that doesn't provide an AppConfig class. ... ok
test_no_such_app (apps.tests.AppsTests.test_no_such_app)
Tests when INSTALLED_APPS contains an app that doesn't exist, either ... ok
test_no_such_app_config (apps.tests.AppsTests.test_no_such_app_config) ... ok
test_no_such_app_config_with_choices (apps.tests.AppsTests.test_no_such_app_config_with_choices) ... ok
test_not_an_app_config (apps.tests.AppsTests.test_not_an_app_config)
Tests when INSTALLED_APPS contains a class that isn't an app config. ... ok
test_one_config_app (apps.tests.AppsTests.test_one_config_app)
Load an app that provides an AppConfig class. ... ok
test_ready (apps.tests.AppsTests.test_ready)
Tests the ready property of the main registry. ... ok
test_relabeling (apps.tests.AppsTests.test_relabeling) ... ok
test_singleton_main (apps.tests.AppsTests.test_singleton_main)
Only one main registry can exist. ... ok
test_two_configs_app (apps.tests.AppsTests.test_two_configs_app)
Load an app that provides two AppConfig classes. ... ok
test_two_configs_one_default_app (apps.tests.AppsTests.test_two_configs_one_default_app)
Load an app that provides two AppConfig classes, one being the default. ... ok
test_two_default_configs_app (apps.tests.AppsTests.test_two_default_configs_app)
Load an app that provides two default AppConfig classes. ... ok

----------------------------------------------------------------------
Ran 44 tests in 0.268s

OK</error>
</function_results>

Excellent! All tests pass. Now let's also run some broader tests to make sure our change doesn't break anything else. Let's run a few related test suites:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && ./tests/runtests.py auth_tests --verbosity 1</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>
<output>Testing against Django installed in '/testbed/django' with up to 128 processes
Found 613 test(s).
System check identified no issues (0 silenced).</output>
<error>Creating test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
Creating test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
Cloning test database for alias 'other'...
< truncated lines 186-241 >
...e for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...
Destroying test database for alias 'other'...</error>
</function_results>

The auth tests ran successfully (no failures reported). Let's also test a few more specific cases to make sure our change doesn't break anything:

